{abdomen}	ab,do,men
{formoxol}	for,mo,xol
{gallstone}	gall,stone
{gamma}	ga,mma
{ganz}	ganz
{gas}	gas
{gastric}	gas,tric
{garcon}	gar,con
{gendobu}	gen,do,bu
{general}	ge,ne,ral
{gentamicin}	gen,ta,mi,cin
{gipamine}	gi,pa,mine
{glu}	glu
{glucose}	glu,cose
{glycerin}	gly,cerin
{gout}	gout
{gram}	gram
{ground}	ground
{guide}	guide
{head}	head
{heart}	heart
{hematuria}	he,ma,tu,ria
{hemorrhoid}	he,mo,rrhoid
{hemorrhoidectomy}	he,mo,rrhoid,ec,tomy
{hemothorax}	he,mo,tho,rax
{hemovac}	he,mo,vac
{heparin}	he,pa,rin
{herbesser}	her,be,sser
{hernia}	her,nia
{herniorrhaphy}	her,ni,orrha,phy
{high}	high
{hip}	hip
{history}	his,tory
{hold}	hold
{hodi}	ho,di
{hypertension}	hy,per,ten,sion
{hypo}	hy,po
{humor}	hu,mor
{if}	if
{is}	is
{in}	in
{ileus}	i,leus
{imodium}	i,mo,dium
{imovane}	i,mo,vane
{infection}	in,fec,tion
{inguinal}	in,gui,nal
{inhalation}	in,ha,la,tion
{injury}	in,jury
{invanz}	in,vanz
{irrigation}	i,rri,ga,tion
{kabiven}	ka,bi,ven
{kalimate}	ka,li,mate
{kascoal}	ka,scoal
{keep}	keep
{keto}	ke,to
{kidney}	kid,ney	
{klean}	klean
{knee}	knee
{laceration}	lace,ra,tion
{laminectomy}	la,mi,nec,tomy
{lapa}	la,pa
{laparoscopic}	la,paro,sco,pic
{lasix}	la,six
{latol}	la,tol
{leg}	leg
{leukocytes}	leu,ko,cytes
{level}	le,vel
{levemir}	le,ve,mir
{levetir}	le,ve,tir
{levophed}	le,vo,phed
{levox}	le,vox
{lidocaine}	li,do,caine
{light}	light
{limadol}	li,ma,dol
{line}	line
{lipase}	li,pase
{liter}	li,ter
{liver}	li,ver
{local}	lo,cal
{loditon}	lo,di,ton
{loss}	loss
{low}	low
{lung}	lung
{lymph}	lymph
{lyacety}	lya,ce,ty
{madopar}	ma,do,par
{mark}	mark
{mask}	mask
{mass}	mass
{medason}	me,da,son
{medicon}	me,di,con
{meta}	me,ta
{metacin}	me,ta,cin
{metformin}	met,for,min
{mild}	mild
{milking}	milk,ing
{milli}	mi,lli
{mini}	mi,ni
{mixed}	mixed
{mixture}	mix,ture
{mode}	mode
{monitor}	mo,ni,tor
{mono}	mo,no
{morphine}	mor,phine
{motor}	mo,tor
{multiple}	mul,ti,ple
{muscle}	mu,scle
{nasal}	na,sal
{neck}	neck
{negative}	ne,ga,tive
{neutrophil}	neu,tro,phil
{nexium}	ne,xium
{nicardipine}	ni,car,di,pine
{no}	no
{norepinephrine}	no,re,pine,phrine
{normal}	nor,mal
{norvasc}	nor,vasc
{novamin}	no,va,min
{novorapid}	no,vo,rapid
{nsad}	n,sad
{numerous}	nu,me,rous
{nurse}	nurse
{nibare}	nibare
{occult}	o,ccult
{off}	off
{old}	old	
{on}	on
{one}	one
{op}	op
{open}	open
{opsite}	op,site
{oral}	o,ral
{order}	or,der
{out}	out
{over}	over
{oximetry}	oxi,me,try 
{pacemaker}	pace,maker
{packed}	packed	
{pain}	pain
{patient}	pa,tient
{pancreatitis}	pan,crea,titis
{pantyl}	pan,tyl
{pap}	pap
{paran}	pa,ran
{pelvis}	pel,vis
{penicillin}	pe,ni,cillin
{percent}	per,cent
{permcath}	perm,cath
{psychiatry}	psy,chia,try
{psyche}	psy,che
{pethidine}	pe,thi,dine
{phel}	phel
{pigtail}	pig,tail
{platelet}	pla,te,let
{pleural}	pleu,ral
{pneumonia}	pneu,mo,nia
{pneumothorax}	pneu,mo,tho,rax
{po}	po
{polyp}	po,lyp
{poor}	poor
{port}	port
{portable}	por,table
{positive}	po,si,tive
{post}	post
{potassium}	po,ta,ssium
{power}	pow,er
{pre}	pre
{primperan}	prim,pe,ran
{pro}	pro
{promeran}	pro,me,ran
{protein}	pro,tein
{proternol}	pro,ter,nol
{psychic}	psy,chic
{pump}	pump
{pupil}	pu,pil
{pus}	pus	
{push}	push
{pyrine}	py,rine
{radi}	ra,di
{rasitol}	ra,si,tol
{rate}	rate
{ray}	ray
{re}	re
{recheck}	re,check
{record}	re,cord
{rectal}	rec,tal
{reflex}	re,flex
{reon}	re,on
{remove}	re,move
{renal}	re,nal
{repair}	re,pair
{rhythm}	rhy,thm
{rib}	rib
{rinderon}	rin,de,ron
{rolikan}	ro,li,kan
{room}	room
{routine}	rou,tine
{rule}	rule
{rubber}	rub,ber
{run}	run
{sacral}	sa,cral
{safe}	safe
{saline}	sa,line
{saction}	sac,tion
{scabies}	sca,bies
{scale}	scale
{scan}	scan
{scope}	scope
{seasorb}	sea,sorb
{seg}	seg
{segment}	seg,ment
{seizure}	sei,zure
{sepsis}	sep,sis
{set}	set
{sheath}	shea,th
{show}	show
{shunt}	shunt
{shock}	shock
{shiley}	shi,ley
{side}	side
{sign}	sign
{silvadene}	sil,va,dene
{sintrix}	sin,trix
{sinus}	si,nus
{silicon}	si,li,con
{sip}	sip
{sitz}	sitz
{size}	size
{skin}	skin
{smooth}	smoo,th
{sodium}	so,dium
{soft}	soft
{solu}	so,lu
{sono}	so,no
{sona}	so,na
{sore}	sore
{spersin}	sper,sin
{spinal}	spi,nal
{spine}	sp,ine
{splint}	spl,int
{sputum}	spu,tum
{stable}	sta,ble
{stain}	st,ain
{staphylococcus}	sta,phy,lo,co,ccus
{stat}	st,at
{stenosis}	ste,no,sis
{stent}	st,ent
{stin}	st,in
{stone}	st,one
{stool}	st,ool
{suction}	suc,tion
{sugar}	su,gar
{suture}	su,ture
{swan}	swan
{shaving}	sha,ving
{tachycardia}	ta,chy,car,dia
{tamiflu}	ta,mi,flu
{tapping}	tapp,ing
{tarry}	ta,rry
{task}	task
{temgesic}	tem,ge,sic
{tetracycline}	te,tra,cycline
{tetana}	te,ta,na
{three}	three
{through}	thr,ough
{thyroid}	thy,roid
{thyroidectomy}	thy,roid,ec,tomy
{tip}	tip
{tonsillitis}	ton,si,llitis
{total}	to,tal
{touch}	touch
{toxoid}	to,xoid
{trachea}	tra,chea
{training}	train,ing
{transamin}	tran,sa,min
{triflow}	tri,flow
{troponin}	tro,po,nin
{try}	try
{tube}	tube
{tumor}	tu,mor
{two}	two
{type}	type
{then}	then
{ulcer}	ul,cer
{up}	up
{ureteral}	u,re,te,ral
{uric}	u,ric
{urine}	u,rine
{varicose}	va,ri,cose
{vats}	vats
{vein}	vein
{vena}	ve,na
{vertigo}	ver,ti,go
{vial}	vial
{view}	view
{vitacal}	vi,ta,cal
{vesyca}	ve,sy,ca
{vital}	vi,tal
{voren}	vo,ren
{vanco}	van,co
{water}	wa,ter
{way}	way
{weight}	weight	
{wet}	wet
{wheezing}	wheez,ing
{white}	white
{wound}	wound
{with}	with
{yeast}	yeast
{yellow}	ye,llow
{lymphocyte}	lym,pho,cyte
{oxacillin}	ox,a,ci,llin
{monocyte}	mo,no,cyte
{tonlief}	ton,lief
{emerson}	e,mer,son
{mutonpain}	mu,ton,pain
{semi}	semi
{nax}	nax
{pantogen}	pan,to,gen
{dimer}	di,mer
{test}	test
{equivalent}	e,qui,va,lent
{ketone}	ke,tone
{trace}	trace
{tapimycin}	ta,pi,my,cin
{tramacet}	tra,ma,cet
{gauze}	gau,ze
{cefazolin}	ce,fa,zo,lin
{ativan}	a,ti,van
{condition}	con,di,tion
{cexitin}	cexi,tin
{nitrate}	ni,trate
{turbidity}	tir,bi,di,ty
{pad}	pad
{tibia}	ti,bia
{prednisolone}	pred,ni,so,lone
{loop}	loop
{colostomy}	co,los,tomy
{catheter}	cath,e,ter
{arterial}	ar,te,rial
{levetir}	le,ve,tir
{sabs}	sa,bs
{vac}	vac
{ponstan}	pon,stan
{rest}	rest
{maniton}	ma,ni,ton
{tramed}	tra,med
{prolong}	pro,long
{penrose}	pen,rose
{saturation}	sa,tu,ra,tion
{toujeo}	tou,jeo
{penis}	pe,nis
{may}	may
{be}	be
{rivotril}	ri,vo,tril
{chemo}	che,mo
{close}	close
{sin}	sin
{permit}	per,mit
{alpha}	al,pha
{nsaid}	n,said
{healing}	heal,ing
{alcohol}	al,co,hol
{bag}	bag
{cefulin}	ce,fu,lin
{coli}	co,li
{cisplatin}	cis,pla,tin
{unclear}	un,clear
{pantoloc}	pan,to,loc
{gangrene}	gan,grene
{exception}	ex,cep,tion
{intense}	in,tense
{perdipine}	per,di,pine
{se}	se
{output}	out,put
{forearm}	for,earm
{deep}	deep
{biliru}	bi,li,ru
{alpraline}	al,pra,line
{lin}	lin
{balloon}	ba,lloon
{strocain}	stro,ca,in
{direct}	di,rect
{celebrex}	ce,le,brex
{drowsy}	drow,sy
{bacilli}	ba,ci,lli
{liquid}	li,quid
{prepare}	pre,pare
{tachy}	ta,chy
{neutro}	neu,tro
{per}	per
{ventral}	ven,tral
{gowell}	go,well
{da}	da
{formation}	for,ma,tion
{glimet}	g,li,met
{ibuprofen}	i,bu,pro,fen
{perm}	perm
{famo}	fa,mo
{me}	me
{xyzine}	xy,zine
{necrosis}	ne,cro,sis
{tibial}	ti,bi,al
{fibial}	fi,bi,al
{nodular}	no,du,lar
{goiter}	goi,ter
{hard}	hard
{tranciet}	tran,ciet
{jaundice}	jaun,dice
{busco}	bus,co
{loperamide}	lo,pe,ra,mide
{lactulose}	lac,tu,lose
{binin}	bi,nin
{non}	non
{rebreathing}	re,bre,a,th,ing
{expire}	ex,pire
{vomiting}	vo,mi,ting
{ascites}	a,sci,tes
{herceptin}	her,cep,tin
{eloxatin}	elo,xa,tin
{chart}	chart
{taper}	ta,per
{chocking}	ch,o,ck,ing
{latulose}	la,tu,lose
{to}	to
{utapine}	u,ta,pine
{amoeba}	a,moe,ba
{intake}	in,take
{half}	half
{chillness}	chill,ness
{fo}	fo
{fee}	fee
{novo}	no,vo
{harper}	har,per
{insulin}	in,su,lin
{reactive}	re,ac,tive
{pig}	pig
{pentyl}	pentyl
{mi}	mi
{ce}	ce
{pro}	pro
{lower}	lower
{depavent}	de,pa,vent
{pulse}	pulse
